status,source,source_label,type,id,title,url,aliases,citation,file,asset_file,metadata_file,saved_at,ignored_at,uncollected_at
saved,trove,Trove,newspaper,209256127,Wellington Dam Capacity - The Narrogin Observer (WA : 1918 - 1955) - 14 Aug 1953,https://trove.nla.gov.au/newspaper/article/209256127,https://trove.nla.gov.au/newspaper/article/209256127 | https://trove.nla.gov.au/newspaper/article/209256127?searchTerm=Wellington%20Dam | https://nla.gov.au/nla.news-article209256127,"1953 'Wellington Dam Capacity', The Narrogin Observer (WA : 1918 - 1955), 14 August, p. 21. , viewed 02 Apr 2026, http://nla.gov.au/nla.news-article209256127",newspapers/wellington-dam-capacity-the-narrogin-observer-wa-1918-1955-14-aug-1953-209256127.md,,,2026-04-02T03:40:39.739Z,,
ignored,trove,TROVE,newspaper,253406851,WELLINGTON DAM OVERFLOWS,https://trove.nla.gov.au/newspaper/article/253406851?searchTerm=Wellington%20Dam,https://trove.nla.gov.au/newspaper/article/253406851?searchTerm=Wellington%20Dam,,,,,,2026-04-02T03:40:39.796Z,
